Animalia ,Arthropoda,Arachnida,Araneae,Pholcidae,Leptopholcus,brazlandia,,Leptopholcus brazlandia ,"Leptopholcus brazlandia Huber, Pérez & Baptista, 2005",Aranha-de-pernas-longas,,,
Animalia ,Arthropoda,Arachnida,Araneae,Pholcidae,Leptopholcus,pataxo,,Leptopholcus pataxo ,"Leptopholcus pataxo Huber, Pérez & Baptista, 2005",Aranha-de-pernas-longas,,,
Animalia ,Arthropoda,Arachnida,Araneae,Pholcidae,Metagonia,diamantina,,Metagonia diamantina ,"Metagonia diamantina Machado, Ferreira & Brescovit, 2011",Aranha-de-pernas-longas,,,
Animalia ,Arthropoda,Arachnida,Araneae,Pholcidae,Metagonia,potiguar,,Metagonia potiguar ,"Metagonia potiguar Ferreira, Souza, Machado & Brescovit, 2011",Aranha-de-pernas-longas,,,
Animalia ,Arthropoda,Arachnida,Araneae,Prodidomidae,Brasilomma,enigmatica,,Brasilomma enigmatica ,"Brasilomma enigmatica Brescovit, Ferreira, Silva & Rheims, 2012",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Araneae,Prodidomidae,Lygromma,ybyguara,,Lygromma ybyguara ,"Lygromma ybyguara Rheims & Brescovit, 2004",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Araneae,Salticidae,Corythalia,insularis,,Corythalia insularis ,"Corythalia insularis Ruiz, Brescovit & Freitas, 2007",Aranha-papa-mosca,,,
Animalia ,Arthropoda,Arachnida,Araneae,Salticidae,Matagaia,chromatopus,,Matagaia chromatopus ,"Matagaia chromatopus Ruiz, Brescovit & Freitas, 2007",Aranha-papa-mosca,,,
Animalia ,Arthropoda,Arachnida,Araneae,Salticidae,Neonella,noronha,,Neonella noronha ,"Neonella noronha Ruiz, Brescovit & Freitas, 2007",Aranha-papa-mosca,,,
Animalia ,Arthropoda,Arachnida,Araneae,Sicariidae,Sicarius,diadorim,,Sicarius diadorim ,"Sicarius diadorim Magalhães, Brescovit & Santos, 2013 ",Desconhecido,,,
